,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_sum_10min,,RainIntensity_10min,,RainIntensity_10min,,RainIntensity_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineAmmount_sum_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,
5/28/22 10:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 10:30:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 10:40:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 10:50:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:00:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:10:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:30:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:40:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 11:50:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
